"Year","CITATION","SAMPLE NAME","UNIQUE_ID","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","FE(WT%)","MG(WT%)","K(WT%)","NA(WT%)","LI(PPM)","F(PPM)","S(PPM)","CL(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM): altern. values or methods","","","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","PD(PPB)","AG(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PT(PPB)","AU(PPM)","AU(PPB)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40933","","68.72","0.48","14.32","","","","1.55","","2.78","4.35","1.5","0.1","","","","1.81","3.37","0.06","","0.67","0.19","0","","","","0","","","","","","","","","","16","","73","2","810","10","0","NOT","","","","","10","38","13","","","25.5","225","29","129","1","","","","","","","0.64","465","7.1","18.1","","13.3","4.1","0.83","4.6","","","1.1","","","3.2","0.51","3.5","0.7","","","","","","6","","0.8","0.6",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40935","","53.6","0.85","17.67","","","","4.22","","5.04","8.24","3.99","0.3","","","","0.53","4.17","0.12","","1.09","0.07","0.14","","","","0","","","","","","","","","","32","","233","2","2300","16","1","NOT","","","","","25","103","18.2","","","6.5","267","22","57","1","","","","","","","","75","3","14","","10","","","","","","","","","","","","","","","","","","5","","0.8","0.4",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40937","","68.81","0.36","15.81","","","","1.58","","1.22","4.15","0.79","0.08","","","","1.15","4.76","0.11","","0.48","0.05","0.09","","","","0","","","","","","","","","","4","","32","0","610","2","2","NOT","","","","","36","23","17.6","","","19","410","12","68","1.5","","","","","","","0.27","340","5.6","13.1","","8.3","","0.75","2.1","","","","","","1.4","0.22","2","0.9","","","","","","3","","0.7","0",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40938","","66.58","0.46","16.51","","","","2","","1.8","5.32","1.32","0.08","","","","0.68","4.23","0.12","","0.24","0.1","0.38","","","","0.03","","","","","","","","","","8","","48","3","620","13","2","NOT","","","","","23","33","17.2","","","14.5","441","12","76","1","","","","","","","","210","5","13","","10","","","","","","","","","","","","","","","","","","3","","0.6","0.2",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40943","","73.43","0.31","13.36","","","","1.32","","1.31","2.64","0.58","0.11","","","","1.53","4.3","0.05","","0.65","0.13","0","","","","0","","","","","","","","","","9","","25","1","830","15","0","NOT","","","","","1","111","13.4","","","22","157","30","146","2","","","","","","","0.55","190","7.6","20.1","","13.6","4","0.9","4","","","1.4","","","3.7","0.64","4.1","1.2","","","","","","8","","1.2","0.4",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40946","","55.4","0.84","16.48","","","","3.24","","5.72","7.45","4.26","0.2","","","","1.34","3.37","0.11","","1.16","0.07","0.33","","","","0","","","","","","","","","","32","","253","17","1520","4","15","NOT","","","","","10","122","17","","","37.5","212","23","75","1","","","","","","","","90","3","10","","9","","","","","","","","","","","","","","","","","","8","","1","0.6",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40906","","49.25","0.92","4.98","","","","1.69","","12.02","11.4","14.43","0.35","","","","0.29","0.69","0","1.4","","","0.3","0.03","0.09","","","","","","","","1","","","","139","","415","90","","88","61","EMP (EPMA)","","","","","12.5","148","","","","0","19","32","","","","","","","","","","15","","9","","","","","","","","","","","","","","","","","","","","5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40912","","47.28","1","7.2","","","","3.13","","9.68","11.34","14.3","0.42","","","","0.27","0.86","0","1","","","0.1","0.03","0.05","","","","","","","","2","","","","81","","346","227","","69","85","EMP (EPMA)","","","","","7.5","117","","","","1.5","30.5","25","","","","","","","","","","25","","11","","","","","","","","","","","","","","","","","","","","3.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40914","","47.55","1.42","6.91","","","","3.07","","9.79","11.12","14.66","0.52","","","","0.19","0.71","0.14","1.3","","","0.1","0.04","0.04","","","","","","","","2","","","","125","","305","7","","62","20.5","EMP (EPMA)","","","","","20","162","","","","1","39","115","","","","","","","","","","10","","24","","","","","","","","","","","","","","","","","","","","3.5","","","",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40916","","46.84","1.17","6.6","","","","2.89","","13.68","10.92","12.21","0.48","","","","0.38","1.08","0.01","1.1","","","0.3","0.06","0.1","","","","","","","","0","","","","162","","325","4","","66","11","EMP (EPMA)","","","","","15.5","164","","","","1","28.5","73","","","","","","","","","","45","","24","","","","","","","","","","","","","","","","","","","","6.5","","","",
